The,null,0,The,The,DT,O,DT,2,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ashes,B-intrmed,1,ash,ash,NNS,O,NNS,4,nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,null,2,were,were,VBD,O,VBD,4,auxpass,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dried,B-operation,3,dried,dri,VBN,O,VBN,0,root,0,226,0,0,0,226,0,0,0,0,0,0,0,0
at,null,4,at,at,IN,O,IN,7,case,1,3,0,0,0,0,3,0,5,0,0,0,0,0
a,null,5,a,a,DT,O,DT,7,det,1,10,0,0,0,5,2,3,7220,0,0,0,0,0
temperature,null,6,temperature,temperatur,NN,O,NN,4,nmod,0,210,0,0,0,0,210,0,0,0,0,0,0,0
of,null,7,of,of,IN,O,IN,11,case,1,340,2,247,2,0,78,11,1,0,0,0,0,0
60,B-number,8,60,60,CD,O,CD,11,nummod,0,38,0,10,2,0,26,0,0,0,1,1,0,0
°,B-cnd_unit,9,°,°,NN,O,NN,11,compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,I-cnd_unit,10,C,C,NN,O,NN,7,nmod,0,136,7,0,2,0,127,0,22533,0,0,0,1,1
to,null,11,to,to,TO,O,TO,13,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
remove,B-operation,12,remove,remov,VB,O,VB,4,xcomp,0,1,0,0,0,1,0,0,0,0,0,0,0,0
the,null,13,the,the,DT,O,DT,17,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
excess,null,14,excess,excess,JJ,O,JJ,17,amod,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moisture,null,15,moisture,moistur,NN,O,NN,17,compound,0,4,0,4,0,0,0,0,0,0,0,0,0,0
content,null,16,content,content,NN,O,NN,13,dobj,0,5,0,5,0,0,0,0,0,0,0,0,0,0
.,null,17,.,.,.,O,_,_,_,0,25,15,0,3,1,0,6,0,0,0,0,0,0

In,null,0,In,In,IN,O,IN,4,mark,0,1,0,1,0,0,0,0,14,0,0,0,1,0
order,null,1,order,order,NN,O,NN,1,mwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,null,2,to,to,TO,O,TO,4,mark,1,80,0,20,0,14,46,0,0,0,0,0,0,0
reduce,B-operation,3,reduce,reduc,VB,O,VB,12,advcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,null,4,the,the,DT,O,DT,6,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
agglomeration,null,5,agglomeration,agglomer,NN,O,NN,4,dobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,null,6,,,,,,,O,_,_,_,0,125,5,12,27,37,44,0,0,0,0,0,0,0
the,null,7,the,the,DT,O,DT,10,det,1,40,0,20,0,4,12,4,0,0,0,0,0,0
